"TIME","GEO","STATINFO","UNIT","Value"
"2012S2","Belgium","Total","Number","34,697"
"2012S2","Bulgaria","Total","Number","45,114"
"2012S2","Czechia","Total","Number","19,163"
"2012S2","Denmark","Total","Number","7,832"
"2012S2","Germany (until 1990 former territory of the FRG)","Total","Number","13,280"
"2012S2","Estonia","Total","Number","15,200"
"2012S2","Ireland","Total","Number","24,077"
"2012S2","Greece","Total","Number","69,993"
"2012S2","Spain","Total","Number","34,897"
"2012S2","France","Total","Number","77,774"
"2012S2","Croatia","Total","Number",":"
"2012S2","Italy","Total","Number","166,420"
"2012S2","Cyprus","Total","Number","13,525"
"2012S2","Latvia","Total","Number","2,973"
"2012S2","Lithuania","Total","Number","16,368"
"2012S2","Luxembourg","Total","Number","946"
"2012S2","Hungary","Total","Number","11,694"
"2012S2","Malta","Total","Number","23,865"
"2012S2","Netherlands","Total","Number","110,887"
"2012S2","Austria","Total","Number","48,734"
"2012S2","Poland","Total","Number","128,596"
"2012S2","Portugal","Total","Number","118,552"
"2012S2","Romania","Total","Number","12,221"
"2012S2","Slovenia","Total","Number","21,149"
"2012S2","Slovakia","Total","Number","33,778"
"2012S2","Finland","Total","Number","24,974"
"2012S2","Sweden","Total","Number","60,224"
"2012S2","United Kingdom","Total","Number","350,990"
"2013S2","Belgium","Total","Number","28,681"
"2013S2","Bulgaria","Total","Number","36,788"
"2013S2","Czechia","Total","Number","18,806"
"2013S2","Denmark","Total","Number","7,832"
"2013S2","Germany (until 1990 former territory of the FRG)","Total","Number","12,980"
"2013S2","Estonia","Total","Number","10,081"
"2013S2","Ireland","Total","Number","24,286"
"2013S2","Greece","Total","Number","58,300"
"2013S2","Spain","Total","Number","42,382"
"2013S2","France","Total","Number","73,837"
"2013S2","Croatia","Total","Number",":"
"2013S2","Italy","Total","Number","159,674"
"2013S2","Cyprus","Total","Number","9,590"
"2013S2","Latvia","Total","Number","2,904"
"2013S2","Lithuania","Total","Number","16,951"
"2013S2","Luxembourg","Total","Number","984"
"2013S2","Hungary","Total","Number","12,403"
"2013S2","Malta","Total","Number","24,511"
"2013S2","Netherlands","Total","Number","109,098"
"2013S2","Austria","Total","Number","19,996"
"2013S2","Poland","Total","Number","127,622"
"2013S2","Portugal","Total","Number","92,391"
"2013S2","Romania","Total","Number","13,191"
"2013S2","Slovenia","Total","Number","17,872"
"2013S2","Slovakia","Total","Number","33,778"
"2013S2","Finland","Total","Number",":"
"2013S2","Sweden","Total","Number","62,465"
"2013S2","United Kingdom","Total","Number","337,570"
"2014S2","Belgium","Total","Number","31,297"
"2014S2","Bulgaria","Total","Number","34,718"
"2014S2","Czechia","Total","Number","17,691"
"2014S2","Denmark","Total","Number","7,832"
"2014S2","Germany (until 1990 former territory of the FRG)","Total","Number","12,376"
"2014S2","Estonia","Total","Number","9,360"
"2014S2","Ireland","Total","Number","24,420"
"2014S2","Greece","Total","Number","66,857"
"2014S2","Spain","Total","Number","41,590"
"2014S2","France","Total","Number","78,182"
"2014S2","Croatia","Total","Number","11,537"
"2014S2","Italy","Total","Number","155,482"
"2014S2","Cyprus","Total","Number","8,992"
"2014S2","Latvia","Total","Number","3,041"
"2014S2","Lithuania","Total","Number","16,627"
"2014S2","Luxembourg","Total","Number","986"
"2014S2","Hungary","Total","Number","14,287"
"2014S2","Malta","Total","Number","25,273"
"2014S2","Netherlands","Total","Number","108,732"
"2014S2","Austria","Total","Number","20,566"
"2014S2","Poland","Total","Number","22,455"
"2014S2","Portugal","Total","Number","89,152"
"2014S2","Romania","Total","Number",":"
"2014S2","Slovenia","Total","Number","17,872"
"2014S2","Slovakia","Total","Number","36,130"
"2014S2","Finland","Total","Number",":"
"2014S2","Sweden","Total","Number","62,215"
"2014S2","United Kingdom","Total","Number","310,600"
"2015S2","Belgium","Total","Number","28,425"
"2015S2","Bulgaria","Total","Number","33,536"
"2015S2","Czechia","Total","Number","18,558"
"2015S2","Denmark","Total","Number","7,832"
"2015S2","Germany (until 1990 former territory of the FRG)","Total","Number","15,437"
"2015S2","Estonia","Total","Number","6,934"
"2015S2","Ireland","Total","Number","24,597"
"2015S2","Greece","Total","Number","67,947"
"2015S2","Spain","Total","Number","40,173"
"2015S2","France","Total","Number","28,743"
"2015S2","Croatia","Total","Number","12,321"
"2015S2","Italy","Total","Number","153,261"
"2015S2","Cyprus","Total","Number","8,758"
"2015S2","Latvia","Total","Number","4,393"
"2015S2","Lithuania","Total","Number","16,143"
"2015S2","Luxembourg","Total","Number","966"
"2015S2","Hungary","Total","Number","14,727"
"2015S2","Malta","Total","Number","25,273"
"2015S2","Netherlands","Total","Number","109,389"
"2015S2","Austria","Total","Number","20,519"
"2015S2","Poland","Total","Number","22,358"
"2015S2","Portugal","Total","Number","103,460"
"2015S2","Romania","Total","Number","13,191"
"2015S2","Slovenia","Total","Number","18,980"
"2015S2","Slovakia","Total","Number","36,553"
"2015S2","Finland","Total","Number","33,386"
"2015S2","Sweden","Total","Number","63,694"
"2015S2","United Kingdom","Total","Number","317,580"
"2016S2","Belgium","Total","Number","25,653"
"2016S2","Bulgaria","Total","Number","34,921"
"2016S2","Czechia","Total","Number","19,074"
"2016S2","Denmark","Total","Number","7,832"
"2016S2","Germany (until 1990 former territory of the FRG)","Total","Number","15,750"
"2016S2","Estonia","Total","Number","6,765"
"2016S2","Ireland","Total","Number","25,567"
